number x y demand
1 -33 31 1
2 9 -19 1
3 46 29 1
4 -49 20 1
5 6 3 1
6 -12 -34 1
7 -24 -32 1
8 15 -36 1
9 -7 23 1
10 -8 -12 1
11 42 2 1
12 34 4 1
13 -40 -35 1
14 48 -9 1
15 -38 -2 1
16 5 -35 1
17 -42 -36 1
18 46 -35 1
19 -7 2 1
20 13 19 1
21 -47 -50 1
22 35 -34 1
23 -8 -35 1
24 48 -7 1
25 23 -22 1
26 -34 50 1
27 31 9 1
28 45 21 1
29 -10 5 1
30 19 -9 1
31 -18 -43 1
32 -7 8 1
33 10 -46 1
34 -13 -38 1
35 -32 50 1
36 -3 -26 1
37 47 28 1
38 39 -17 1
39 13 22 1
40 4 -22 1
41 17 46 1
42 -18 -32 1
43 4 -25 1
44 -18 3 1
45 11 -48 1
46 -5 -43 1
47 -42 23 1
48 -19 47 1
49 3 23 1
50 -8 -8 1
51 9 38 1
52 -40 32 1
53 6 -24 1
54 22 2 1
55 39 50 1
56 39 -33 1
57 25 -34 1
58 -2 31 1
59 10 -15 1
60 -47 37 1
61 -17 -38 1
62 37 27 1
63 -6 -17 1
64 22 -12 1
65 20 -46 1
66 33 50 1
67 11 46 1
68 49 2 1
69 23 38 1
70 24 -44 1
71 24 14 1
72 7 44 1
73 -16 -29 1
74 27 -8 1
75 -40 33 1
76 -15 -13 1
77 -15 -46 1
78 -18 -19 1
79 49 -6 1
80 13 11 1
81 -38 13 1
82 15 6 1
83 10 38 1
84 -9 -29 1
85 -22 -48 1
86 -21 12 1
87 -30 43 1
88 36 44 1
89 6 -41 1
90 29 9 1
91 -34 -4 1
92 -24 -24 1
93 -12 19 1
94 16 4 1
95 -27 34 1
96 -21 -50 1
97 9 -19 1
98 28 -36 1
99 16 -49 1
100 24 -34 1
101 -13 48 1
102 35 -25 1
103 -43 -36 1
104 48 39 1
105 8 46 1
106 21 -29 1
107 -43 25 1
108 20 50 1
109 33 22 1
110 -39 -31 1
111 13 39 1
112 21 4 1
113 -43 -3 1
114 -50 -11 1
115 49 -7 1
116 44 -44 1
117 -41 -25 1
118 -13 7 1
119 -35 -50 1
120 -8 -26 1
