number x y demand
1 -7 43 1
2 -46 -14 1
3 -8 30 1
4 7 -1 1
5 -34 -30 1
6 47 -4 1
7 -13 -45 1
8 -3 10 1
9 22 -28 1
10 -22 26 1
11 -22 -26 1
12 -30 28 1
13 45 -4 1
14 -23 -4 1
15 -5 35 1
16 30 37 1
17 20 -14 1
18 3 8 1
19 36 30 1
20 13 -20 1
21 -11 -21 1
22 20 40 1
23 9 46 1
24 15 -35 1
25 -9 17 1
26 35 -48 1
27 10 -28 1
28 21 27 1
29 23 -1 1
30 -38 -19 1
31 -10 -25 1
32 -31 -39 1
33 -31 -4 1
34 23 33 1
35 -17 35 1
36 7 11 1
37 43 -15 1
38 6 26 1
39 -26 -14 1
40 39 8 1
41 44 27 1
42 28 -49 1
43 -5 -16 1
44 47 29 1
45 21 -27 1
46 22 49 1
47 18 17 1
48 12 28 1
49 -9 -29 1
50 -30 2 1
51 -4 -45 1
52 0 33 1
53 27 6 1
54 -29 -18 1
55 21 -5 1
56 -26 16 1
57 -1 -49 1
58 -39 -37 1
59 -14 42 1
60 34 29 1
61 -41 -31 1
62 -31 -8 1
63 -22 8 1
64 13 -8 1
65 -50 31 1
66 -44 30 1
67 -31 13 1
68 28 7 1
69 8 31 1
70 -1 44 1
71 44 -36 1
72 -7 -27 1
73 -39 -10 1
74 -3 -30 1
75 21 47 1
76 -12 5 1
77 -11 13 1
78 -19 -21 1
79 5 29 1
80 -40 -30 1
81 -16 -29 1
82 -37 30 1
83 29 -48 1
84 28 -13 1
85 21 -21 1
86 38 5 1
87 -26 19 1
88 -41 30 1
89 44 11 1
90 -26 12 1
91 14 10 1
92 2 35 1
93 50 -47 1
94 10 -19 1
95 21 -12 1
96 24 -25 1
97 -8 26 1
98 -33 -9 1
99 22 3 1
100 43 -10 1
101 -33 15 1
102 -23 -27 1
103 47 -2 1
104 -48 20 1
105 1 -18 1
106 -49 -49 1
107 -15 3 1
108 -13 11 1
109 9 -2 1
110 25 20 1
111 22 3 1
112 -41 -33 1
113 -39 34 1
114 -1 -13 1
115 4 11 1
116 -23 -29 1
117 49 40 1
118 -34 48 1
119 48 -26 1
120 -20 -37 1
121 17 48 1
122 -4 -10 1
123 31 -35 1
124 -3 45 1
125 -23 -29 1
126 24 -2 1
127 -30 -43 1
128 22 8 1
129 49 18 1
130 38 -32 1
131 -42 -27 1
132 35 -3 1
133 42 40 1
134 31 27 1
135 -33 24 1
136 -3 -27 1
137 45 32 1
138 -21 -34 1
139 41 35 1
140 -3 -29 1
141 -39 10 1
142 45 21 1
143 32 -35 1
144 -30 48 1
145 -15 32 1
146 9 -42 1
147 0 -13 1
148 6 11 1
149 18 44 1
150 -5 -26 1
