number x y demand
1 19 -35 1
2 -40 27 1
3 -13 10 1
4 21 -7 1
5 -18 36 1
6 -48 14 1
7 -45 38 1
8 5 41 1
9 -22 -36 1
10 -14 32 1
11 -22 -37 1
12 11 -1 1
13 -18 -16 1
14 -18 46 1
15 23 50 1
16 -39 27 1
17 27 23 1
18 38 -11 1
19 38 -28 1
20 -48 46 1
21 15 26 1
22 -32 -6 1
23 9 6 1
24 -17 45 1
25 -22 48 1
26 -29 -37 1
27 -27 -22 1
28 47 41 1
29 2 -1 1
30 1 36 1
31 19 15 1
32 23 28 1
33 -26 -5 1
34 40 50 1
35 -30 -48 1
36 -11 20 1
37 33 46 1
38 4 -47 1
39 48 -13 1
40 -3 -18 1
41 -30 10 1
42 25 -25 1
43 14 7 1
44 -37 0 1
45 -38 -38 1
46 38 36 1
47 -34 48 1
48 -10 -42 1
49 -42 -2 1
50 -39 49 1
51 10 -25 1
52 15 -43 1
53 43 23 1
54 -45 -38 1
55 29 39 1
56 -49 -1 1
57 -39 9 1
58 -34 -11 1
59 49 36 1
60 3 16 1
61 13 50 1
62 -48 43 1
63 16 12 1
64 30 -40 1
65 49 -3 1
66 -6 -5 1
67 -35 46 1
68 17 -11 1
69 -41 -7 1
70 -48 -49 1
71 33 21 1
72 20 -24 1
73 6 -45 1
74 38 18 1
75 -5 6 1
76 -35 -20 1
77 -46 24 1
78 46 23 1
79 50 19 1
80 12 -14 1
81 7 9 1
82 28 37 1
83 3 -7 1
84 -49 -2 1
85 32 -19 1
86 39 11 1
87 42 41 1
88 -15 48 1
89 21 11 1
90 25 -17 1
91 8 22 1
92 -40 4 1
93 14 8 1
94 32 -20 1
95 -40 -30 1
96 -1 11 1
97 -11 36 1
98 9 -25 1
99 -24 5 1
100 6 -17 1
