number x y demand
1 9 -45 167
2 -28 22 145
3 5 -45 112
4 -50 6 170
5 -45 34 119
6 24 -26 170
7 38 26 252
8 -14 47 13
9 23 28 68
10 -29 -39 72
11 -41 -22 124
12 8 48 40
13 -2 13 52
14 37 -38 184
15 23 22 28
16 16 -47 153
17 -28 13 135
18 -39 -14 11
19 -10 -30 139
20 -6 -2 163
21 -21 30 130
22 44 -34 127
23 3 -27 125
24 -27 -23 97
25 49 38 28
26 49 23 189
27 -43 20 51
28 33 24 187
29 -47 -22 298
30 33 -13 126
31 45 -20 132
32 34 4 60
33 20 -23 284
34 13 -50 58
35 -27 -45 59
36 -37 24 39
37 -2 36 105
38 -38 45 92
39 42 -46 126
40 -46 46 152
41 -12 -20 90
42 41 47 78
43 -44 38 70
44 28 2 72
45 -2 42 39
46 6 32 199
47 -37 -46 61
48 50 47 26
49 35 11 148
50 -8 43 158
51 10 -32 17
52 48 -4 119
53 32 14 161
54 2 -47 45
55 16 12 147
56 37 -30 169
57 6 50 32
58 -25 13 93
59 45 -15 90
60 34 12 50
61 -38 -32 274
62 -3 30 186
63 31 34 25
64 26 25 76
65 -48 -38 40
66 13 -11 193
67 8 -42 63
68 34 30 78
69 -13 23 41
70 20 38 119
71 -6 0 166
72 37 27 147
73 -18 50 104
74 -40 -1 168
75 48 48 13
76 17 -25 184
77 0 0 123
78 18 -20 74
79 20 43 60
80 -12 -1 175
81 -28 -30 134
82 10 43 69
83 8 -3 143
84 5 3 53
85 29 -48 37
86 -37 -43 47
87 17 41 113
88 12 -47 14
89 7 4 178
90 -28 11 41
91 -37 -27 151
92 6 -19 190
93 -41 -14 102
94 -22 0 97
95 -45 -44 150
96 -36 36 44
97 -49 14 113
98 -24 -25 52
99 46 -36 260
100 12 39 63
