number x y demand
1 35 -50 188
2 15 8 41
3 19 -13 130
4 6 -37 17
5 7 25 54
6 -18 -48 78
7 -31 47 31
8 -49 -1 116
9 24 -41 99
10 13 46 121
11 10 6 77
12 -37 27 139
13 -31 34 64
14 37 36 115
15 49 4 130
16 12 -15 30
17 42 27 1
18 -46 28 156
19 43 21 48
20 -28 22 79
21 -26 -3 135
22 9 -29 85
23 -6 -29 79
24 -23 20 45
25 -12 -3 132
26 -26 31 132
27 -14 -8 115
28 -4 48 175
29 -16 -23 125
30 -18 -22 86
31 22 -43 134
32 50 -48 64
33 18 -29 29
34 -26 32 153
35 22 -6 192
36 28 -21 152
37 25 -47 89
38 -46 11 70
39 -44 44 186
40 -48 28 100
41 -38 4 77
42 -9 -30 88
43 34 27 33
44 39 -12 126
45 -32 -16 57
46 48 4 151
47 -50 -43 57
48 -38 32 136
49 40 33 148
50 -17 -14 39
51 -13 -35 49
52 -35 -38 177
53 16 -13 65
54 -26 -7 67
55 45 -16 8
56 -11 -19 294
57 40 23 77
58 -46 48 133
59 -44 -28 183
60 -10 19 74
61 -5 22 176
62 26 1 97
63 12 5 36
64 -3 -42 102
65 -31 22 185
66 7 -17 32
67 -36 34 44
68 -36 -22 156
69 12 -30 186
70 49 42 153
71 22 -26 15
72 49 -29 68
73 -25 -23 16
74 -42 25 88
75 -23 20 183
76 27 -11 23
77 -48 11 8
78 20 -2 194
79 -28 0 153
80 -41 -27 5
81 32 7 78
82 -36 41 132
83 45 49 37
84 -44 48 71
85 -23 46 14
86 -30 -29 124
87 -48 -25 153
88 22 14 22
89 -45 15 76
90 -31 -20 99
91 -44 -23 46
92 -2 -3 20
93 -40 23 120
94 3 41 184
95 36 -49 190
96 44 -3 12
97 1 -46 90
98 -42 41 32
99 -33 29 64
100 -11 29 39
101 13 16 178
102 14 -26 50
103 26 29 121
104 37 11 70
105 -47 -44 75
106 0 14 318
107 -10 -7 69
108 22 7 151
109 26 0 144
110 30 -39 40
111 44 45 179
112 40 15 59
113 35 24 106
114 -6 43 77
115 -20 -14 158
116 -43 43 136
117 -34 -5 32
118 0 -1 167
119 -6 29 66
120 25 -48 178
121 11 -28 133
122 16 -4 173
123 -1 46 17
124 -10 15 192
125 -20 -45 91
126 -41 0 198
127 -45 -12 62
128 9 -18 6
129 -11 -19 168
130 -15 -5 191
131 -31 -24 17
132 34 34 215
133 40 44 80
134 16 22 38
135 -22 -10 165
136 21 -46 33
137 -38 -36 10
138 16 -31 127
139 8 -27 4
140 -42 43 73
141 25 5 190
142 15 -22 158
143 19 31 131
144 -27 43 143
145 -11 -2 11
146 32 30 15
147 -7 -6 73
148 -37 -27 118
149 -36 -8 120
150 38 -42 96
151 34 -18 164
152 -27 -33 48
153 14 5 36
154 -16 10 19
155 -34 -10 61
156 -50 22 83
157 33 0 48
158 17 27 151
159 -26 -5 173
160 -12 -8 141
161 43 -5 183
162 25 -42 74
163 23 -47 185
164 38 -32 61
165 31 -32 110
166 47 -34 10
167 25 -6 58
168 30 -26 57
169 49 -2 94
170 -24 -15 140
171 32 34 30
172 2 30 191
173 -18 37 90
174 13 -38 81
175 30 -46 95
176 -36 15 89
177 44 -48 57
178 7 -29 182
179 -4 14 146
180 -43 -8 160
181 41 -15 193
182 24 32 181
183 -6 34 171
184 -48 7 128
185 30 -23 95
186 -25 -25 184
187 21 21 57
188 -36 5 186
189 -42 1 130
190 4 16 10
191 20 4 60
192 -43 2 12
193 44 44 259
194 -48 -10 166
195 30 15 129
196 -16 -34 3
197 -28 -31 44
198 -23 13 102
199 -17 -3 44
200 -11 -22 10
