number x y demand
1 -32 -35 2
2 1 -45 13
3 -38 -5 13
4 49 -27 13
5 35 44 4
6 -3 23 6
7 27 37 6
8 16 -20 9
9 -21 50 12
10 42 32 14
11 21 30 2
12 -40 -27 9
13 23 10 8
14 5 -50 6
15 -12 -27 3
16 -34 45 14
17 20 -11 3
18 -39 -31 59
19 38 -50 4
20 39 21 6
21 39 47 13
22 -30 -36 3
23 -25 20 34
24 -6 -19 10
25 39 -6 2
26 -20 20 8
27 -1 30 2
28 -6 -41 5
29 -22 26 1
30 -1 27 14
31 11 -19 44
32 25 -43 2
33 -14 -44 8
34 2 -24 25
35 -37 26 14
36 43 -29 7
37 11 1 9
38 30 -12 12
39 46 -35 2
40 20 16 13
41 15 -46 10
42 -13 15 11
43 27 41 4
44 38 25 9
45 -49 31 14
46 -50 6 67
47 31 28 8
48 26 37 9
49 11 -33 9
50 41 -8 13
51 -29 20 4
52 -12 -9 6
53 14 -11 14
54 33 -27 10
55 42 -23 13
56 -2 -1 12
57 -31 -39 4
58 11 -36 15
59 33 28 9
60 -19 37 7
61 -7 -21 12
62 -43 29 15
63 -7 29 4
64 1 -28 7
65 37 -4 7
66 20 -19 1
67 -16 28 12
68 46 39 13
69 21 -1 78
70 -9 33 8
71 -41 -27 26
72 -3 30 14
73 16 5 10
74 -8 47 11
75 34 -31 7
76 14 31 36
77 -49 0 14
78 -11 -7 2
79 -42 -21 10
80 15 18 13
