number x y demand
1 -14 2 11
2 -19 30 12
3 41 2 39
4 -33 -34 12
5 3 46 11
6 45 33 6
7 -11 2 11
8 -23 8 10
9 22 -10 8
10 -16 32 12
11 19 -17 78
12 1 40 16
13 45 -46 12
14 25 47 3
15 22 0 2
16 -47 -18 12
17 -25 29 8
18 45 -45 12
19 -12 29 11
20 -20 -15 8
21 50 -20 15
22 -22 -13 18
23 -37 -29 70
24 5 23 15
25 2 18 17
26 -26 -19 13
27 33 -8 11
28 -32 11 13
29 22 -14 18
30 50 -34 9
31 -17 -49 8
32 2 -7 41
33 39 41 4
34 50 12 15
35 -17 -31 12
36 24 -42 32
37 42 -10 12
38 -31 10 7
39 -41 -38 17
40 -46 -14 86
41 -27 -45 9
42 -4 16 14
43 -47 -10 18
44 9 -35 10
45 36 -2 14
46 38 12 13
47 3 -4 12
48 2 11 4
49 -20 14 8
50 -43 -29 11
51 -2 29 4
52 50 1 12
53 -10 39 3
54 0 29 14
55 -25 10 9
56 -9 30 14
57 -44 17 16
58 34 4 12
59 46 5 12
60 -26 -18 7
61 45 24 49
62 29 -6 7
63 13 -49 28
64 29 -12 17
65 34 13 8
66 6 -36 7
67 10 -17 18
68 20 22 11
69 -48 -38 16
70 27 -29 17
71 -38 38 83
72 43 -5 12
73 46 -38 30
74 -21 -32 11
75 14 -18 15
76 -49 -46 14
77 -4 15 7
78 20 12 37
79 -48 10 14
80 -30 -2 13
81 1 41 9
82 22 27 29
83 43 -11 15
84 -50 21 16
85 -26 -2 16
86 43 -41 17
87 42 25 9
88 -39 -2 5
89 -12 3 13
90 17 34 18
91 22 -35 11
92 8 14 11
93 -23 -34 17
94 -43 23 11
95 -26 -24 10
96 26 33 46
97 -37 -19 13
98 -29 12 10
99 -18 -43 17
100 2 -44 7
101 1 -23 16
102 -19 -22 7
103 33 -8 12
104 -33 1 9
105 13 -41 4
106 42 25 3
107 -27 47 5
108 -21 6 6
109 -28 49 17
110 -11 -40 3
111 -22 49 5
112 -23 5 6
113 -24 6 9
114 36 22 10
115 -42 8 3
116 -11 -40 27
117 -21 -19 6
118 -3 19 13
119 -4 -12 13
120 20 -13 6
121 47 -45 10
122 8 34 11
123 -49 16 7
124 32 36 7
125 7 -16 9
126 41 44 17
127 32 21 11
128 48 50 17
129 38 38 35
130 38 44 11
131 -28 -8 17
132 -10 44 18
133 24 17 17
134 -49 -10 4
135 -16 -29 3
136 0 11 9
137 -13 21 16
138 26 -5 13
139 49 3 38
140 21 27 18
141 0 3 11
142 6 -40 9
143 33 9 6
144 -44 1 2
145 -14 -41 9
146 45 2 10
147 0 -18 10
148 -46 34 10
149 -41 -18 5
150 47 -3 7
