number x y demand
1 34 -11 17
2 29 -35 17
3 15 0 10
4 -20 -24 4
5 -8 -21 7
6 6 -38 17
7 -40 22 4
8 -24 -34 14
9 7 30 2
10 -28 -10 13
11 46 46 18
12 -29 25 2
13 38 44 29
14 -28 9 2
15 -15 -22 13
16 28 -48 17
17 25 -46 13
18 -34 11 13
19 -6 -23 15
20 21 -36 13
21 -23 -33 8
22 22 5 18
23 -40 45 13
24 -28 2 17
25 47 -5 11
26 -49 16 15
27 -44 -48 16
28 -9 49 2
29 19 -15 4
30 -50 -17 7
31 -47 11 7
32 31 -48 11
33 -11 16 3
34 8 15 18
35 44 29 5
36 25 13 16
37 -18 23 12
38 43 -1 9
39 -22 -21 13
40 -30 -4 13
41 -6 8 26
42 -37 -36 17
43 -17 34 10
44 45 15 13
45 22 -8 8
46 -33 -18 4
47 38 -15 10
48 11 43 13
49 -31 27 36
50 19 1 10
51 -14 -49 11
52 46 40 12
53 -12 48 14
54 8 33 15
55 47 -36 6
56 49 38 13
57 -47 8 2
58 48 13 13
59 42 7 9
60 -31 -33 4
61 48 20 29
62 -9 -15 12
63 18 -12 9
64 -27 -47 15
65 29 -26 13
66 -48 32 11
67 -43 3 18
68 -9 -32 4
69 -22 -39 16
70 50 -20 16
71 35 9 6
72 20 30 4
73 18 -26 14
74 29 -49 13
75 -49 32 9
76 11 -50 16
77 16 2 13
78 -25 34 12
79 -15 -27 34
80 -33 14 12
81 19 41 14
82 2 16 4
83 13 32 2
84 -24 41 10
85 -48 -31 7
86 -8 21 14
87 35 -31 6
88 36 -11 11
89 15 -40 16
90 -11 -35 5
91 -39 47 5
92 27 45 13
93 -20 12 34
94 -19 33 13
95 -15 -2 16
96 -24 8 13
97 32 -33 17
98 15 21 14
99 -16 35 15
100 15 -28 6
